,bezirk,ortsteil,subdistrict_avg_mietspiegel_classification,subdistrict_total_full_time_employees,subdistrict_avg_median_income_eur,classification_category
0,charlottenburg-wilmersdorf,charlottenburg,2.195729537366548,9204717.0,4566.785714285715,moderate
1,charlottenburg-wilmersdorf,charlottenburg-nord,1.04,286400.0,4522.648195488722,affordable
2,charlottenburg-wilmersdorf,grunewald,2.854368932038835,603786.0,4554.75,expensive
3,charlottenburg-wilmersdorf,halensee,2.5609756097560976,0.0,4522.648195488722,expensive
4,charlottenburg-wilmersdorf,schmargendorf,2.8469387755102042,709226.0,4548.0,expensive
5,charlottenburg-wilmersdorf,westend,2.5757575757575757,1390389.0,4470.6,expensive
6,charlottenburg-wilmersdorf,wilmersdorf,2.7344398340248963,7084436.0,4473.105263157895,expensive
7,friedrichshain-kreuzberg,friedrichshain,2.4387096774193546,5759800.0,4017.4285714285716,moderate
8,friedrichshain-kreuzberg,kreuzberg,1.6359832635983265,4997012.0,4006.0,moderate
9,lichtenberg,alt-hohenschoenhausen,1.5230125523012552,4613178.0,3757.875,moderate
10,lichtenberg,falkenberg,1.0,0.0,3575.7291666666665,affordable
11,lichtenberg,fennpfuhl,1.5263157894736843,403636.0,3231.0,moderate
12,lichtenberg,friedrichsfelde,1.653061224489796,1394834.0,3532.75,moderate
13,lichtenberg,karlshorst,2.388235294117647,349350.0,3710.0,moderate
14,lichtenberg,lichtenberg,1.6689189189189189,1059828.0,3530.75,moderate
15,lichtenberg,malchow,1.4,0.0,3575.7291666666665,affordable
16,lichtenberg,neu-hohenschoenhausen,1.2682926829268293,0.0,3575.7291666666665,affordable
17,lichtenberg,rummelsburg,1.941860465116279,276060.0,3692.0,moderate
18,lichtenberg,wartenberg,1.6756756756756757,0.0,3575.7291666666665,moderate
19,marzahn-hellersdorf,biesdorf,1.9196787148594376,1713618.0,3911.0,moderate
20,marzahn-hellersdorf,hellersdorf,1.5,2913296.0,3087.3,moderate
21,marzahn-hellersdorf,kaulsdorf,2.061224489795918,923944.0,3572.6666666666665,moderate
22,marzahn-hellersdorf,mahlsdorf,2.374301675977654,6013326.0,4487.555555555556,moderate
23,marzahn-hellersdorf,marzahn,1.3089430894308942,5623560.0,3329.153846153846,affordable
