PLR,full_time_employees,median_income_eur
Stülerstraße,866,4721
Großer Tiergarten,619,6279
Lützowstraße,1250,4895
Körnerstraße,1126,5062
Wilhelmstraße,828,5384
Unter den Linden,570,5076
Leipziger Straße,2848,5093
Charitéviertel,2446,6097
Oranienburger Straße,3359,5389
Alexanderplatz-viertel,2877,4816
Karl-Marx-Allee,1986,4062
Heine-Viertel West,2951,5097
Heine-Viertel Ost,2912,4865
Nordbahnhof,2068,6264
Invalidenstraße,3764,5611
Arkonaplatz,4076,5830
Huttenkiez,960,3808
Beusselkiez,1651,3674
Emdener Straße,2274,4062
Bremer Straße,2352,4211
Zwinglistraße,1118,3874
Elberfelder Straße,2824,4701
Stephankiez,2806,4212
Heidestraße,2607,6114
Lübecker Straße,1422,3724
Thomasiusstraße,1586,4554
Zillesiedlung,525,3453
Lüneburger Straße,947,4779
Hansaviertel,1228,4746
Drontheimer Straße,1362,3184
Koloniestraße,1704,3349
Soldiner Straße,1944,3570
Gesundbrunnen,2256,3693
Brunnenstraße,2670,3780
Humboldthain Süd,1987,3634
Humboldthain Nordwest,2905,3710
Afrikanische Straße,2672,3519
Kameruner Straße,2224,3884
Glasgower Straße,1274,3781
Schillerpark,1426,3431
Londoner Straße,743,3538
Westliche Müllerstraße,1944,4018
Antonstraße,1387,3492
Uferstraße,1921,3527
Schweden-straße,1080,3383
Nordufer,2121,4050
Sparrplatz,1573,3830
Leopoldplatz,2093,3824
Schulstraße,1143,3536
Askanischer Platz,1539,4313
Mehringplatz,1621,3940
Am Berlin Museum,1048,4034
Moritzplatz,979,3538
Prinzenstraße,1663,3517
Wassertorplatz,690,3622
Gleisdreieck,725,6347
Rathaus Yorckstraße,1251,4549
Viktoriapark,2547,4777
Urbanstraße,2822,4557
Chamissokiez,3276,4682
Graefekiez Süd,1703,4461
Graefekiez Nord,2091,4786
Oranienplatz,1076,3688
Lausitzer Platz,1274,4042
Köpenicker Straße,728,4138
Reichenberger Straße West,1500,4326
Reichenberger Straße Ost,1609,4390
Wrangelkiez,2168,4165
Barnimkiez,1242,3751
Friedenstraße,2595,4638
Richard-Sorge-Viertel,3577,4693
Andreasviertel,3496,4160
Weberwiese,3352,4542
Wriezener Bahnhof,649,5871
Hausburgviertel,2977,4423
Forckenbeckplatz,2036,4639
Samariterviertel,3164,4908
Pettenkofer Straße,1799,4935
Niederbarnim-straße,1282,4810
Wismarplatz,2490,4327
Traveplatz,3205,4812
Boxhagener Platz,3375,4743
Revaler Straße,3752,4898
Stralauer Kiez,2741,4685
Stralauer Halbinsel,1442,5936
Bucher Forst,1124,4134
Klinikum Buch,637,3485
