bezirk,ortsteil,subdistrict_population_age_0_5,subdistrict_population_age_5_10,subdistrict_population_age_10_15,subdistrict_population_age_15_20,subdistrict_population_age_20_25,subdistrict_population_age_25_30,subdistrict_population_age_30_35,subdistrict_population_age_35_40,subdistrict_population_age_40_45,subdistrict_population_age_45_50,subdistrict_population_age_50_55,subdistrict_population_age_55_60,subdistrict_population_age_60_65,subdistrict_population_age_65_70,subdistrict_population_age_70_75,subdistrict_population_age_75_80,subdistrict_population_age_80_85,subdistrict_population_age_85_90,subdistrict_population_age_90_95,subdistrict_population_age_95_plus,subdistrict_male_population,subdistrict_female_population,total_population,subdistrict_senior_population,subdistrict_youth_population,subdistrict_senior_share,subdistrict_youth_share,subdistrict_middle_age_population
treptow-koepenick,adlershof,1177.0,846.0,710.0,671.0,1410.0,1765.0,2274.0,1833.0,1349.0,1044.0,1235.0,1384.0,991.0,833.0,607.0,764.0,762.0,383.0,150.0,22.0,10200,10010,20210,3521.0,3404.0,0.17422068283028203,0.16843146956952004,0.6573478476001979
lichtenberg,alt-hohenschönhausen,2960.0,2689.0,2308.0,1975.0,2360.0,2943.0,4609.0,3963.0,3415.0,2776.0,3122.0,3530.0,2956.0,2891.0,2392.0,2175.0,1729.0,869.0,344.0,64.0,24655,25415,50070,10464.0,9932.0,0.20898741761533854,0.19836229279009387,0.5926502895945676
treptow-koepenick,alt-treptow,840.0,727.0,560.0,450.0,457.0,895.0,1617.0,1685.0,1394.0,975.0,926.0,815.0,506.0,339.0,252.0,284.0,230.0,146.0,59.0,10.0,6579,6588,13167,1320.0,2577.0,0.10025062656641603,0.19571656413761676,0.7040328092959672
treptow-koepenick,altglienicke,1724.0,1788.0,1631.0,1391.0,1417.0,1411.0,2162.0,2134.0,1973.0,1876.0,2398.0,2699.0,1960.0,1424.0,1043.0,1056.0,901.0,420.0,156.0,31.0,14638,14957,29595,5031.0,6534.0,0.1699949315762798,0.22078053725291436,0.6092245311708059
treptow-koepenick,baumschulenweg,880.0,732.0,620.0,569.0,866.0,1374.0,2107.0,1669.0,1227.0,962.0,1235.0,1333.0,915.0,749.0,569.0,775.0,1257.0,744.0,238.0,73.0,9070,9824,18894,4405.0,2801.0,0.23314279665502277,0.14824812109664443,0.6186090822483328
marzahn-hellersdorf,biesdorf,1332.0,1356.0,1170.0,1042.0,1258.0,1254.0,1700.0,1966.0,1917.0,1592.0,2088.0,2766.0,2282.0,2158.0,1442.0,1399.0,1243.0,622.0,286.0,82.0,14405,14550,28955,7232.0,4900.0,0.24976687964082198,0.1692281125884994,0.5810050077706786
pankow,blankenburg,274.0,388.0,358.0,302.0,226.0,138.0,276.0,460.0,455.0,460.0,621.0,771.0,527.0,481.0,320.0,370.0,260.0,141.0,61.0,24.0,3422,3491,6913,1657.0,1322.0,0.23969333140460003,0.19123390713149138,0.5690727614639086
pankow,blankenfelde,69.0,108.0,106.0,77.0,52.0,46.0,100.0,107.0,116.0,155.0,189.0,217.0,172.0,158.0,93.0,128.0,108.0,41.0,16.0,,1056,1002,2058,,360.0,,0.1749271137026239,
treptow-koepenick,bohnsdorf,537.0,532.0,530.0,471.0,461.0,397.0,664.0,751.0,775.0,718.0,1053.0,1222.0,900.0,723.0,567.0,641.0,538.0,224.0,112.0,43.0,5815,6044,11859,2848.0,2070.0,0.2401551564212834,0.17455097394384012,0.5852938696348765
reinickendorf,borsigwalde,310.0,240.0,222.0,207.0,405.0,552.0,600.0,429.0,378.0,383.0,565.0,597.0,441.0,384.0,310.0,346.0,238.0,122.0,40.0,,3408,3361,6769,,979.0,,0.14462993056581475,
neukoelln,britz,2095.0,2041.0,1811.0,1695.0,2407.0,3211.0,3456.0,3030.0,2619.0,2449.0,3041.0,3412.0,2753.0,2244.0,2020.0,1843.0,1549.0,759.0,317.0,94.0,21260,21586,42846,8826.0,7642.0,0.20599355832516456,0.1783597068571162,0.6156467348177193
pankow,buch,1050.0,895.0,774.0,647.0,761.0,852.0,1355.0,1347.0,1128.0,840.0,973.0,1063.0,955.0,895.0,685.0,880.0,754.0,399.0,176.0,44.0,8074,8399,16473,3833.0,3366.0,0.23268378558853883,0.2043343653250774,0.5629818490863838
neukoelln,buckow,1847.0,1893.0,1761.0,1764.0,2026.0,2227.0,2403.0,2280.0,2205.0,2211.0,3025.0,3183.0,2575.0,2407.0,2356.0,2628.0,2093.0,920.0,282.0,60.0,19415,20731,40146,10746.0,7265.0,0.26767299357345686,0.18096447964928014,0.5513625267772629
charlottenburg-wilmersdorf,charlottenburg,5217.0,4445.0,4102.0,4245.0,7582.0,10992.0,12145.0,10253.0,8618.0,8148.0,9354.0,9996.0,8469.0,7377.0,6772.0,5507.0,3737.0,1567.0,632.0,201.0,63894,65465,129359,25793.0,18009.0,0.19939084253898068,0.13921721720174088,0.6613919402592784
charlottenburg-wilmersdorf,charlottenburg-nord,976.0,893.0,872.0,792.0,1108.0,1317.0,1525.0,1296.0,1306.0,1199.0,1342.0,1381.0,1178.0,987.0,832.0,877.0,861.0,424.0,192.0,64.0,9491,9931,19422,4237.0,3533.0,0.2181546699618989,0.1819071156420554,0.5999382143960457
steglitz-zehlendorf,dahlem,692.0,890.0,987.0,1031.0,869.0,675.0,689.0,929.0,944.0,1172.0,1491.0,1334.0,982.0,884.0,908.0,1058.0,822.0,350.0,152.0,57.0,8121,8795,16916,4231.0,3600.0,0.2501182312603452,0.2128162686214235,0.5370655001182313
lichtenberg,falkenberg,178.0,143.0,139.0,126.0,140.0,113.0,165.0,157.0,180.0,113.0,146.0,219.0,150.0,116.0,28.0,30.0,22.0,15.0,6.0,3.0,1143,1046,2189,220.0,586.0,0.10050251256281408,0.26770214709913204,0.631795340338054
spandau,falkenhagener feld,1981.0,2077.0,1954.0,1854.0,2122.0,2441.0,2725.0,2527.0,2280.0,2170.0,2600.0,2842.0,2372.0,2035.0,1740.0,1946.0,1863.0,806.0,273.0,59.0,18658,20009,38667,8722.0,7866.0,0.22556702097395712,0.2034292807820622,0.5710036982439807
lichtenberg,fennpfuhl,1528.0,1349.0,1162.0,1132.0,1980.0,2628.0,3502.0,2627.0,1872.0,1640.0,1816.0,1960.0,1637.0,1514.0,1811.0,2394.0,2008.0,853.0,283.0,55.0,16570,17181,33751,8918.0,5171.0,0.26422920802346594,0.15321027525110367,0.5825605167254304
pankow,französisch buchholz,1085.0,1254.0,1163.0,1050.0,836.0,686.0,1364.0,1613.0,1640.0,1397.0,1908.0,2092.0,1489.0,1129.0,765.0,835.0,687.0,317.0,110.0,29.0,10630,10819,21449,3872.0,4552.0,0.18052123642127837,0.21222434612336238,0.6072544174553592
tempelhof-schoeneberg,friedenau,1202.0,1166.0,1210.0,1229.0,1490.0,1824.0,1986.0,1928.0,1837.0,1764.0,2233.0,2410.0,1882.0,1715.0,1472.0,1323.0,834.0,300.0,145.0,48.0,13050,14948,27998,5837.0,4807.0,0.20847917708407743,0.1716908350596471,0.6198299878562754
lichtenberg,friedrichsfelde,2817.0,2167.0,1807.0,1766.0,3205.0,4388.0,5782.0,4586.0,3365.0,2478.0,2741.0,3309.0,2839.0,2936.0,2471.0,3197.0,3258.0,1631.0,564.0,116.0,26963,28460,55423,14173.0,8557.0,0.2557241578406077,0.15439438500261624,0.5898814571567761
