ortsteil,animal_training,subdistrict_num_bars,bathing_place,subdistrict_num_cafes,childcare,subdistrict_num_clinics,community_centre,dog_park,fast_food,fitness_station,subdistrict_num_forests,fountain,garden,subdistrict_num_grass_areas,greenfield,subdistrict_num_hospitals,subdistrict_num_kindergartens,marina,meadow,nature_reserve,subdistrict_num_nightclubs,subdistrict_num_parks,parking,subdistrict_num_pharmacies,pitch,subdistrict_num_playgrounds,subdistrict_num_restaurants,subdistrict_num_schools,subdistrict_num_supermarkets,theatre,subdistrict_num_universities,subdistrict_num_wood_areas
Wilhelmsruh,0,0,0,4,0,0,0,0,5,0,0,0,0,1,0,0,8,0,0,0,0,5,0,1,0,7,3,4,2,0,0,2
ortsteil_0,0,94,0,289,0,9,0,0,0,0,1,0,2,812,0,3,57,0,0,0,33,89,0,26,0,125,574,28,51,0,18,7
ortsteil_1,0,20,0,86,0,2,0,0,0,0,2,0,0,359,0,0,57,0,0,0,2,58,0,13,0,89,130,16,38,0,1,18
ortsteil_10,0,0,0,1,0,0,0,0,0,0,4,0,0,14,0,0,2,0,0,0,0,5,0,1,0,7,2,1,3,0,0,15
ortsteil_11,0,0,0,2,0,0,0,0,0,0,1,0,0,54,0,0,2,0,0,0,0,9,0,1,0,12,5,1,6,0,0,17
ortsteil_12,0,0,0,2,0,1,0,0,0,0,0,0,0,215,0,0,13,0,0,0,0,26,0,3,0,63,5,5,6,0,0,8
ortsteil_13,0,0,0,0,0,0,0,0,0,0,2,0,0,24,0,0,0,0,0,0,0,3,0,0,0,1,1,2,0,0,0,47
ortsteil_14,0,8,0,24,0,6,0,0,0,0,1,0,0,132,0,1,47,0,0,0,0,29,0,9,0,123,39,26,20,0,0,2
ortsteil_15,0,0,0,3,0,0,0,0,0,0,18,0,1,16,0,0,5,0,0,0,0,5,0,0,0,3,1,2,0,0,0,16
ortsteil_16,0,2,0,3,1,3,0,0,0,0,46,0,0,188,0,1,12,0,0,0,0,26,0,4,0,35,4,8,6,0,1,50
ortsteil_17,0,0,0,2,0,0,0,1,0,0,5,0,0,57,0,0,14,0,1,0,0,24,0,3,0,32,4,3,10,0,0,28
ortsteil_18,0,1,0,10,0,1,0,0,0,0,0,0,0,163,0,0,32,0,0,0,0,19,0,3,0,31,13,12,12,0,1,28
ortsteil_19,0,0,0,2,0,0,0,0,0,0,0,0,0,27,0,0,4,0,0,0,0,3,0,1,0,8,6,1,6,0,0,4
ortsteil_2,0,0,0,4,0,0,0,0,0,0,0,0,0,91,0,0,3,0,0,0,0,10,0,1,0,7,6,2,1,0,1,6
ortsteil_21,0,52,0,262,0,7,0,0,0,0,7,0,3,450,0,1,77,0,0,0,12,63,0,39,0,83,474,25,62,0,10,19
