street_name,district,territorial_side,house_number_range,house_number_scheme_code,house_number_scheme,classification
Aachener Straße,Charlottenburg-Wilmersdorf,West (pre-2000),1 - 4 A,F,Consecutive numbering,mittel
Aachener Straße,Charlottenburg-Wilmersdorf,West (pre-2000),5 - 16,F,Consecutive numbering,gut
Aachener Straße,Charlottenburg-Wilmersdorf,West (pre-2000),17 - 26,F,Consecutive numbering,mittel
Aachener Straße,Charlottenburg-Wilmersdorf,West (pre-2000),27 - 45,F,Consecutive numbering,gut
Aalemannufer,Spandau,West (pre-2000),,K,Complete street,mittel
Aalesunder Straße,Pankow,East + West-Staaken (pre-2000),,K,Complete street,mittel
Aalstieg,Treptow-Köpenick,East + West-Staaken (pre-2000),,K,Complete street,einfach
Aarauer Straße,Steglitz-Zehlendorf,West (pre-2000),,K,Complete street,mittel
Aarberger Straße,Steglitz-Zehlendorf,West (pre-2000),,K,Complete street,mittel
Aaron-Bernstein-Platz,Mitte,East + West-Staaken (pre-2000),,K,Complete street,gut
Abajstraße,Pankow,East + West-Staaken (pre-2000),,K,Complete street,mittel
Abbestraße,Charlottenburg-Wilmersdorf,West (pre-2000),,K,Complete street,mittel
Abendrotweg,Tempelhof-Schöneberg,West (pre-2000),,K,Complete street,mittel
Abendseglersteig,Treptow-Köpenick,East + West-Staaken (pre-2000),,K,Complete street,einfach
Abram-Joffe-Straße,Treptow-Köpenick,East + West-Staaken (pre-2000),,K,Complete street,mittel
Abtstraße,Treptow-Köpenick,East + West-Staaken (pre-2000),,K,Complete street,mittel
Abtweilerstraße,Treptow-Köpenick,East + West-Staaken (pre-2000),,K,Complete street,einfach
Achardstraße,Marzahn-Hellersdorf,East + West-Staaken (pre-2000),,K,Complete street,mittel
Achenbachstraße,Spandau,West (pre-2000),,K,Complete street,einfach
Achenseeweg,Steglitz-Zehlendorf,West (pre-2000),,K,Complete street,mittel
Achillesstraße,Pankow,East + West-Staaken (pre-2000),,K,Complete street,mittel
Achtermannstraße,Pankow,East + West-Staaken (pre-2000),,K,Complete street,mittel
Achtrutenberg,Pankow,East + West-Staaken (pre-2000),,K,Complete street,mittel
Ackerplanweg,Reinickendorf,West (pre-2000),,K,Complete street,mittel
Ackerstraße,Mitte,East + West-Staaken (pre-2000),1 - 43,F,Consecutive numbering,gut
Ackerstraße,Mitte,West (pre-2000),45 - 137,F,Consecutive numbering,einfach
Ackerstraße,Mitte,East + West-Staaken (pre-2000),144 - 174,F,Consecutive numbering,gut
Ackerstraße,Spandau,West (pre-2000),,K,Complete street,einfach
Adalbertstraße,Friedrichshain-Kreuzberg,West (pre-2000),,K,Complete street,einfach
Adalbertstraße,Mitte,East + West-Staaken (pre-2000),24 - 33,F,Consecutive numbering,gut
Adalbertstraße,Mitte,East + West-Staaken (pre-2000),35 - 53,F,Consecutive numbering,mittel
Adalbertstraße,Mitte,East + West-Staaken (pre-2000),57 - 66,F,Consecutive numbering,gut
Adamstraße,Spandau,West (pre-2000),,K,Complete street,einfach
Adam-von-Trott-Straße,Charlottenburg-Wilmersdorf,West (pre-2000),,K,Complete street,einfach
Adele-Sandrock-Straße,Marzahn-Hellersdorf,East + West-Staaken (pre-2000),,K,Complete street,mittel
Adele-Schreiber-Krieger-Straße,Mitte,East + West-Staaken (pre-2000),,K,Complete street,gut
Adelheidallee,Reinickendorf,West (pre-2000),,K,Complete street,gut
Adelheid-Poninska-Straße,Spandau,East + West-Staaken (pre-2000),,K,Complete street,mittel
Adersleber Weg,Marzahn-Hellersdorf,East + West-Staaken (pre-2000),,K,Complete street,einfach
Adickesstraße,Spandau,West (pre-2000),,K,Complete street,einfach
Adlergestell,Treptow-Köpenick,East + West-Staaken (pre-2000),73 - 543,U,Odd numbers only,mittel
Adlergestell,Treptow-Köpenick,East + West-Staaken (pre-2000),250 - 566,G,Even numbers only,mittel
Adlergestell,Treptow-Köpenick,East + West-Staaken (pre-2000),573 - 615,U,Odd numbers only,gut
Adlergestell,Treptow-Köpenick,East + West-Staaken (pre-2000),582 - 610,G,Even numbers only,gut
Adlergestell,Treptow-Köpenick,East + West-Staaken (pre-2000),623 - 785,U,Odd numbers only,einfach
Adlergestell,Treptow-Köpenick,East + West-Staaken (pre-2000),650 - 786,G,Even numbers only,einfach
Adlershofer Straße,Treptow-Köpenick,East + West-Staaken (pre-2000),,K,Complete street,einfach
Adlerstraße,Treptow-Köpenick,East + West-Staaken (pre-2000),,K,Complete street,einfach
Admiralstraße,Friedrichshain-Kreuzberg,West (pre-2000),,K,Complete street,einfach
