bezirk,ortsteil,subdistrict_population_age_0_5,subdistrict_population_age_5_10,subdistrict_population_age_10_15,subdistrict_population_age_15_20,subdistrict_population_age_20_25,subdistrict_population_age_25_30,subdistrict_population_age_30_35,subdistrict_population_age_35_40,subdistrict_population_age_40_45,subdistrict_population_age_45_50,subdistrict_population_age_50_55,subdistrict_population_age_55_60,subdistrict_population_age_60_65,subdistrict_population_age_65_70,subdistrict_population_age_70_75,subdistrict_population_age_75_80,subdistrict_population_age_80_85,subdistrict_population_age_85_90,subdistrict_population_age_90_95,subdistrict_population_age_95_plus,subdistrict_male_population,subdistrict_female_population,total_population,subdistrict_senior_population,subdistrict_youth_population,subdistrict_senior_share,subdistrict_youth_share,subdistrict_middle_age_population,Unnamed: 0,subdistrict_avg_mietspiegel_classification,subdistrict_total_full_time_employees,subdistrict_avg_median_income_eur,classification_category,alcohol,animal_training,antiques,art,bar,bathing_place,books,butcher,childcare,clothes,community_centre,confectionery,convenience,deli,dog_park,electronics,fitness_station,florist,fountain,games,garden,greenfield,greengrocer,hairdresser,ice_cream,kiosk,marina,nature_reserve,nightclub,parking,pitch,playground,restaurant,second_hand,stationery,supermarket,theatre,travel_agency,vacant,wine,yes,cafes,bakeries,green_space,schools,medical,k4_cluster
treptow-koepenick,adlershof,1177.0,846.0,710.0,671.0,1410.0,1765.0,2274.0,1833.0,1349.0,1044.0,1235.0,1384.0,991.0,833.0,607.0,764.0,762.0,383.0,150.0,22.0,10200,10010,20210,3521.0,3404.0,0.174220682830282,0.16843146956952,0.6573478476001979,81,1.806201550387597,428667.0,4388.0,moderate,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,33,0,0,10,0,0,0,0,1,11,1,215,17,8,0
lichtenberg,alt-hohenschoenhausen,2960.0,2689.0,2308.0,1975.0,2360.0,2943.0,4609.0,3963.0,3415.0,2776.0,3122.0,3530.0,2956.0,2891.0,2392.0,2175.0,1729.0,869.0,344.0,64.0,24655,25415,50070,10464.0,9932.0,0.2089874176153385,0.1983622927900938,0.5926502895945676,9,1.5230125523012552,4613178.0,3757.875,moderate,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,20,0,0,14,0,0,0,0,0,9,0,375,38,8,2
treptow-koepenick,alt-treptow,840.0,727.0,560.0,450.0,457.0,895.0,1617.0,1685.0,1394.0,975.0,926.0,815.0,506.0,339.0,252.0,284.0,230.0,146.0,59.0,10.0,6579,6588,13167,1320.0,2577.0,0.100250626566416,0.1957165641376167,0.7040328092959672,82,2.306122448979592,193648.0,3998.0,moderate,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,15,18,0,0,7,0,0,0,0,0,13,1,183,13,5,0
treptow-koepenick,altglienicke,1724.0,1788.0,1631.0,1391.0,1417.0,1411.0,2162.0,2134.0,1973.0,1876.0,2398.0,2699.0,1960.0,1424.0,1043.0,1056.0,901.0,420.0,156.0,31.0,14638,14957,29595,5031.0,6534.0,0.1699949315762798,0.2207805372529143,0.6092245311708059,83,1.5,142688.0,4138.0,moderate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,12,0,0,9,1,0,0,0,0,2,1,286,22,3,0
treptow-koepenick,baumschulenweg,880.0,732.0,620.0,569.0,866.0,1374.0,2107.0,1669.0,1227.0,962.0,1235.0,1333.0,915.0,749.0,569.0,775.0,1257.0,744.0,238.0,73.0,9070,9824,18894,4405.0,2801.0,0.2331427966550227,0.1482481210966444,0.6186090822483328,84,1.6901408450704225,0.0,3955.6111111111113,moderate,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,9,0,0,3,0,0,0,0,0,5,0,62,14,3,0
marzahn-hellersdorf,biesdorf,1332.0,1356.0,1170.0,1042.0,1258.0,1254.0,1700.0,1966.0,1917.0,1592.0,2088.0,2766.0,2282.0,2158.0,1442.0,1399.0,1243.0,622.0,286.0,82.0,14405,14550,28955,7232.0,4900.0,0.2497668796408219,0.1692281125884994,0.5810050077706786,19,1.9196787148594376,1713618.0,3911.0,moderate,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,56,13,0,0,12,0,0,0,0,0,7,0,429,30,10,0
pankow,blankenburg,274.0,388.0,358.0,302.0,226.0,138.0,276.0,460.0,455.0,460.0,621.0,771.0,527.0,481.0,320.0,370.0,260.0,141.0,61.0,24.0,3422,3491,6913,1657.0,1322.0,0.2396933314046,0.1912339071314913,0.5690727614639086,35,1.6666666666666667,929322.0,4513.0,moderate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,3,0,0,0,0,0,1,0,38,3,1,0
pankow,blankenfelde,69.0,108.0,106.0,77.0,52.0,46.0,100.0,107.0,116.0,155.0,189.0,217.0,172.0,158.0,93.0,128.0,108.0,41.0,16.0,,1056,1002,2058,,360.0,,0.1749271137026239,,36,1.52,278025.0,3803.0,moderate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,0,55,7,0,0
treptow-koepenick,bohnsdorf,537.0,532.0,530.0,471.0,461.0,397.0,664.0,751.0,775.0,718.0,1053.0,1222.0,900.0,723.0,567.0,641.0,538.0,224.0,112.0,43.0,5815,6044,11859,2848.0,2070.0,0.2401551564212834,0.1745509739438401,0.5852938696348765,85,1.4603174603174602,133182.0,3262.0,affordable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,0,0,7,0,0,0,0,0,2,0,44,12,3,0
reinickendorf,borsigwalde,310.0,240.0,222.0,207.0,405.0,552.0,600.0,429.0,378.0,383.0,565.0,597.0,441.0,384.0,310.0,346.0,238.0,122.0,40.0,,3408,3361,6769,,979.0,,0.1446299305658147,,48,1.1666666666666667,0.0,4109.027777777778,affordable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,0,2,0,0,0,0,0,1,0,26,12,3,0
neukoelln,britz,2095.0,2041.0,1811.0,1695.0,2407.0,3211.0,3456.0,3030.0,2619.0,2449.0,3041.0,3412.0,2753.0,2244.0,2020.0,1843.0,1549.0,759.0,317.0,94.0,21260,21586,42846,8826.0,7642.0,0.2059935583251645,0.1783597068571162,0.6156467348177193,30,1.2422680412371134,1103666.0,3362.5,affordable,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,81,31,0,0,16,0,0,0,0,0,13,0,524,41,5,2
pankow,buch,1050.0,895.0,774.0,647.0,761.0,852.0,1355.0,1347.0,1128.0,840.0,973.0,1063.0,955.0,895.0,685.0,880.0,754.0,399.0,176.0,44.0,8074,8399,16473,3833.0,3366.0,0.2326837855885388,0.2043343653250774,0.5629818490863838,37,1.452054794520548,133444.0,3070.0,affordable,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,4,0,0,6,0,0,0,0,0,3,0,310,21,8,0
neukoelln,buckow,1847.0,1893.0,1761.0,1764.0,2026.0,2227.0,2403.0,2280.0,2205.0,2211.0,3025.0,3183.0,2575.0,2407.0,2356.0,2628.0,2093.0,920.0,282.0,60.0,19415,20731,40146,10746.0,7265.0,0.2676729935734568,0.1809644796492801,0.5513625267772629,31,1.2045454545454546,526944.0,3992.0,affordable,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,82,29,0,0,18,0,0,0,0,0,1,0,97,33,13,2
charlottenburg-wilmersdorf,charlottenburg,5217.0,4445.0,4102.0,4245.0,7582.0,10992.0,12145.0,10253.0,8618.0,8148.0,9354.0,9996.0,8469.0,7377.0,6772.0,5507.0,3737.0,1567.0,632.0,201.0,63894,65465,129359,25793.0,18009.0,0.1993908425389806,0.1392172172017408,0.6613919402592784,0,2.195729537366548,9204717.0,4566.785714285715,moderate,0,0,1,1,51,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,3,0,0,0,0,1,0,0,12,0,0,83,471,0,0,62,0,0,0,1,0,256,4,540,112,47,3
