Bezirk,Ortsteil,Gender,Nationality,Age group,Frequency
Mitte,Mitte,1,A,00_05,618
Mitte,Mitte,1,A,05_10,461
Mitte,Mitte,1,A,10_15,351
Mitte,Mitte,1,A,15_20,330
Mitte,Mitte,1,A,20_25,1155
Mitte,Mitte,1,A,25_30,2368
Mitte,Mitte,1,A,30_35,3149
Mitte,Mitte,1,A,35_40,2468
Mitte,Mitte,1,A,40_45,1644
Mitte,Mitte,1,A,45_50,1117
Mitte,Mitte,1,A,50_55,901
Mitte,Mitte,1,A,55_60,626
Mitte,Mitte,1,A,60_65,415
Mitte,Mitte,1,A,65_70,232
Mitte,Mitte,1,A,70_75,176
Mitte,Mitte,1,A,75_80,94
Mitte,Mitte,1,A,80_85,32
Mitte,Mitte,1,A,85_90,12
Mitte,Mitte,1,A,90_95,19
Mitte,Mitte,1,D,00_05,2084
Mitte,Mitte,1,D,05_10,1642
Mitte,Mitte,1,D,10_15,1504
Mitte,Mitte,1,D,15_20,1141
Mitte,Mitte,1,D,20_25,1475
Mitte,Mitte,1,D,25_30,2231
Mitte,Mitte,1,D,30_35,3603
Mitte,Mitte,1,D,35_40,3280
Mitte,Mitte,1,D,40_45,3039
Mitte,Mitte,1,D,45_50,2854
Mitte,Mitte,1,D,50_55,3144
Mitte,Mitte,1,D,55_60,2729
Mitte,Mitte,1,D,60_65,1898
Mitte,Mitte,1,D,65_70,1415
Mitte,Mitte,1,D,70_75,1042
Mitte,Mitte,1,D,75_80,1085
Mitte,Mitte,1,D,80_85,1007
Mitte,Mitte,1,D,85_90,519
Mitte,Mitte,1,D,90_95,178
Mitte,Mitte,1,D,95 und älter,32
Mitte,Mitte,2,A,00_05,565
Mitte,Mitte,2,A,05_10,431
Mitte,Mitte,2,A,10_15,313
Mitte,Mitte,2,A,15_20,302
Mitte,Mitte,2,A,20_25,1191
Mitte,Mitte,2,A,25_30,2563
Mitte,Mitte,2,A,30_35,3083
Mitte,Mitte,2,A,35_40,2234
Mitte,Mitte,2,A,40_45,1431
Mitte,Mitte,2,A,45_50,964
Mitte,Mitte,2,A,50_55,749
Mitte,Mitte,2,A,55_60,446
Mitte,Mitte,2,A,60_65,335
Mitte,Mitte,2,A,65_70,226
Mitte,Mitte,2,A,70_75,185
Mitte,Mitte,2,A,75_80,78
Mitte,Mitte,2,A,80_85,66
Mitte,Mitte,2,A,85_90,15
Mitte,Mitte,2,A,90_95,9
Mitte,Mitte,2,A,95 und älter,3
Mitte,Mitte,2,D,00_05,1958
Mitte,Mitte,2,D,05_10,1634
Mitte,Mitte,2,D,10_15,1449
Mitte,Mitte,2,D,15_20,1181
Mitte,Mitte,2,D,20_25,1633
Mitte,Mitte,2,D,25_30,2466
Mitte,Mitte,2,D,30_35,3319
Mitte,Mitte,2,D,35_40,2923
Mitte,Mitte,2,D,40_45,2621
Mitte,Mitte,2,D,45_50,2278
Mitte,Mitte,2,D,50_55,2536
Mitte,Mitte,2,D,55_60,2321
Mitte,Mitte,2,D,60_65,1740
Mitte,Mitte,2,D,65_70,1536
Mitte,Mitte,2,D,70_75,1202
Mitte,Mitte,2,D,75_80,1553
