Straßenname1,Bezirk2,G3,Hausnr.4,B5,WL6 WL7,,Straßenname1,Bezirk2,G3 Hausnr.4,,B5,WL6 WL7
A,,,,,,,Adalbertstraße,FrKr,W 9,- 23 A,F,einfach * Z
Aachener Straße,ChWi,W,1 - 8,F,mittel Z,,Adalbertstraße,FrKr,W 23 B,,F,einfach Z
Aachener Straße,ChWi,W,12 - 26,F,mittel * Z,,Adalbertstraße,FrKr,W 67,- 75,F,einfach * Z
Aachener Straße,ChWi,W,27 - 30,F,gut * Z,,Adalbertstraße,FrKr,W 75 A,,F,einfach Z
Aachener Straße,ChWi,W,31 - 44,F,gut Z,,Adalbertstraße,FrKr,W 76,- 81,F,einfach * Z
Aachener Straße,ChWi,W,45,F,gut * Z,,Adalbertstraße,FrKr,W 81 A,,F,einfach Z
Aalemannufer,Span,W,1,U,mittel * D,,Adalbertstraße,FrKr,W 82,- 82 A,F,einfach * Z
Aalemannufer,Span,W,4 - 14,G,mittel  D,,Adalbertstraße,FrKr,W 82 B,,F,einfach Z
Aalemannufer,Span,W,5 - 31,U,mittel  D,,Adalbertstraße,FrKr,W 83,- 95,F,einfach * Z
Aalesunder Straße,Pank,O,1,U,mittel * Z,,Adalbertstraße,FrKr,W 95 A,,F,einfach Z
Aalesunder Straße,Pank,O,2 - 10,G,mittel Z,,Adalbertstraße,FrKr,W 96,- 98,F,einfach * Z
Aalesunder Straße,Pank,O,3 - 11,U,mittel Z,,Adalbertstraße,Mitt,O 24,,F,mittel * Z
Aalstieg,TrKö,O,,K,einfach  D,,Adalbertstraße,Mitt,O 25,- 42,F,mittel Z
Aarauer Straße,StZe,W,,K,gut  D,,Adalbertstraße,Mitt,O 43,- 49,F,mittel * Z
Aarberger Straße,StZe,W,,K,mittel  D,,Adalbertstraße,Mitt,O 50,- 66,F,mittel Z
Abajstraße,Pank,O,,K,einfach  D,,Adamstraße,Span,W 1,- 6,F,einfach * Z
Abbestraße,ChWi,W,,K,mittel Z,,Adamstraße,Span,W 6 A,,F,einfach Z
Abendrotweg,TSch,W,,K,mittel  D,,Adamstraße,Span,W 7,- 9 A,F,einfach * Z
Abendseglersteig,TrKö,O,,K,mittel  D,,Adamstraße,Span,W 9 B,- 9 D,F,einfach Z
Abram-Joffe-Straße,TrKö,O,2,F,einfach  D,,Adamstraße,Span,W 10,- 24,F,einfach * Z
Abram-Joffe-Straße,TrKö,O,2 A,F,einfach * D,,Adamstraße,Span,W 27,- 28,F,einfach * D
Abram-Joffe-Straße,TrKö,O,2 B - 14,F,einfach  D,,Adamstraße,Span,W 29,- 49,F,einfach * Z
Abram-Joffe-Straße,TrKö,O,18,F,einfach * D,,Adam-von-Trott-Straße,ChWi,W,,K,einfach  D
Abtstraße,TrKö,O,1 - 9,U,mittel * D,,Adele-Sandrock-Straße,MaHe,O 1,- 15,U,mittel  D
Abtstraße,TrKö,O,4,G,mittel * D,,Adele-Sandrock-Straße,MaHe,O 8,- 106,G,mittel  D
Abtstraße,TrKö,O,6 - 8,G,mittel  D,,Adele-Sandrock-Straße,MaHe,O 73,- 113,U,mittel Z
Abtweilerstraße,TrKö,O,,K,einfach  D,,Adele-Schreiber-Krieger-Straße,Mitt,O,,K,gut * Z
Achardstraße,MaHe,O,1,U,einfach * D,,Adelheidallee,Rein,W,,K,gut  D
Achardstraße,MaHe,O,2,G,einfach * D,,Adelheid-Poninska-Straße,Span,O,,K,einfach  D
Achardstraße,MaHe,O,3 - 29,U,einfach  D,,Adersleber Weg,MaHe,O 1,- 5,U,einfach  D
Achardstraße,MaHe,O,4 - 32,G,einfach  D,,Adersleber Weg,MaHe,O 4,- 14,G,einfach  D
Achenbachstraße,Span,W,5,F,einfach * Z,,Adersleber Weg,MaHe,O 7,,U,einfach * D
Achenbachstraße,Span,W,6 - 14,F,einfach Z,,Adersleber Weg,MaHe,O 16,- 18,G,einfach * D
Achenbachstraße,Span,W,15,F,einfach * Z,,Adickesstraße,Span,W 5,- 37 N,U,einfach  D
Achenseeweg,StZe,W,,K,mittel  D,,Adickesstraße,Span,W 18,- 64,G,einfach  D
Achillesstraße,Pank,O,1,U,mittel * D,,Adickesstraße,Span,W 39,- 65,U,einfach * D
Achillesstraße,Pank,O,3 - 31,U,mittel  D,,Adlergestell,TrKö,O 73,,U,einfach * D
Achillesstraße,Pank,O,14 - 52,G,mittel  D,,Adlergestell,TrKö,O 75,- 141,U,mittel * D
Achillesstraße,Pank,O,51 - 55,U,mittel * D,,Adlergestell,TrKö,O 143,,U,mittel  D
Achillesstraße,Pank,O,54,G,mittel * D,,Adlergestell,TrKö,O 145,- 181,U,mittel * D
Achillesstraße,Pank,O,57 - 107,U,mittel  D,,Adlergestell,TrKö,O 181 B,- 183 E,U,mittel  D
Achillesstraße,Pank,O,60 - 120,G,mittel  D,,Adlergestell,TrKö,O 183 F,- 333,U,mittel * D
Achtermannstraße,Pank,O,1 - 7,F,gut  D,,Adlergestell,TrKö,O 250,- 590,G,mittel * D
Achtermannstraße,Pank,O,8 - 20,F,mittel  D,,Adlergestell,TrKö,O 335,,U,mittel  D
Achtermannstraße,Pank,O,21,F,mittel * D,,Adlergestell,TrKö,O 337,- 341,U,mittel * D
Achtermannstraße,Pank,O,35 - 48,F,mittel  D,,Adlergestell,TrKö,O 343,- 345,U,mittel  D
Achtermannstraße,Pank,O,49 - 63,F,gut  D,,Adlergestell,TrKö,O 349,- 615,U,mittel * D
Achtrutenberg,Pank,O,2 A - 54,G,mittel  D,,Adlergestell,TrKö,O 592,,G,einfach  D
Achtrutenberg,Pank,O,5 - 7,U,mittel  D,,Adlergestell,TrKö,O 610,,G,mittel * D
Achtrutenberg,Pank,O,9,U,mittel * D,,Adlergestell,TrKö,O 623,,U,einfach * D
Achtrutenberg,Pank,O,13 - 55,U,mittel  D,,Adlergestell,TrKö,O 625,,U,einfach  D
