street_name,district,territorial_side,house_number_range,house_number_scheme_code,house_number_scheme,classification
Aachener Straße,Charlottenburg-Wilmersdorf,,1 - 4 A,F,Consecutive numbering,mittel
Aachener Straße,Charlottenburg-Wilmersdorf,,5 - 16,F,Consecutive numbering,gut
Aachener Straße,Charlottenburg-Wilmersdorf,,17 - 26,F,Consecutive numbering,mittel
Aachener Straße,Charlottenburg-Wilmersdorf,,27 - 45,F,Consecutive numbering,gut
Aalemannufer,Spandau,,whole street,K,Complete street,mittel
Aalesunder Straße,Pankow,,whole street,K,Complete street,mittel
Aalstieg,Treptow-Köpenick,,whole street,K,Complete street,einfach
Aarauer Straße,Steglitz-Zehlendorf,,whole street,K,Complete street,mittel
Aarberger Straße,Steglitz-Zehlendorf,,whole street,K,Complete street,mittel
Aaron-Bernstein-Platz,Mitte,,whole street,K,Complete street,gut
Abajstraße,Pankow,,whole street,K,Complete street,mittel
Abbestraße,Charlottenburg-Wilmersdorf,,whole street,K,Complete street,mittel
Abendrotweg,Tempelhof-Schöneberg,,whole street,K,Complete street,mittel
Abendseglersteig,Treptow-Köpenick,,whole street,K,Complete street,einfach
Abram-Joffe-Straße,Treptow-Köpenick,,whole street,K,Complete street,mittel
Abtstraße,Treptow-Köpenick,,whole street,K,Complete street,mittel
Abtweilerstraße,Treptow-Köpenick,,whole street,K,Complete street,einfach
Achardstraße,Marzahn-Hellersdorf,,whole street,K,Complete street,mittel
Achenbachstraße,Spandau,,whole street,K,Complete street,einfach
Achenseeweg,Steglitz-Zehlendorf,,whole street,K,Complete street,mittel
Achillesstraße,Pankow,,whole street,K,Complete street,mittel
Achtermannstraße,Pankow,,whole street,K,Complete street,mittel
Achtrutenberg,Pankow,,whole street,K,Complete street,mittel
Ackerplanweg,Reinickendorf,,whole street,K,Complete street,mittel
Ackerstraße,Mitte,,1 - 43,F,Consecutive numbering,gut
Ackerstraße,Mitte,,45 - 137,F,Consecutive numbering,einfach
Ackerstraße,Mitte,,144 - 174,F,Consecutive numbering,gut
Ackerstraße,Spandau,,whole street,K,Complete street,einfach
Adalbertstraße,Friedrichshain-Kreuzberg,,whole street,K,Complete street,einfach
Adalbertstraße,Mitte,,24 - 33,F,Consecutive numbering,gut
Adalbertstraße,Mitte,,35 - 53,F,Consecutive numbering,mittel
Adalbertstraße,Mitte,,57 - 66,F,Consecutive numbering,gut
Adamstraße,Spandau,,whole street,K,Complete street,einfach
Adam-von-Trott-Straße,Charlottenburg-Wilmersdorf,,whole street,K,Complete street,einfach
Adele-Sandrock-Straße,Marzahn-Hellersdorf,,whole street,K,Complete street,mittel
Adele-Schreiber-Krieger-Straße,Mitte,,whole street,K,Complete street,gut
Adelheidallee,Reinickendorf,,whole street,K,Complete street,gut
Adelheid-Poninska-Straße,Spandau,,whole street,K,Complete street,mittel
Adersleber Weg,Marzahn-Hellersdorf,,whole street,K,Complete street,einfach
Adickesstraße,Spandau,,whole street,K,Complete street,einfach
