ID,Bezirk,Standort,Vertrag,Betreiber,Modelltyp,Symbol,Öffnungszeiten,Nutzungsentgelt,Zahlungsart,Barrierefrei,Barrierearm,Wickeltisch
2,Mitte,WC-Center Alexanderplatz 1,Toilettenvertrag mit Wall,Wall GmbH,WC-Center,WC,Mo-Sa 07:00-22:00 So 10:00-22:00,0.5,Bargeld,nein,ja,ja
4,Spandau,WC-Center Spandauer Markt,Toilettenvertrag mit Wall,Wall GmbH,WC-Center,WC,Mo-Sa 07:00-22:00 So 10:00-22:00,0.2,Bargeld,nein,ja,ja
6,Charlottenburg-Wilmersdorf,"Hohenzollerndamm vor Rheinbabenallee (Roseneck, Hundekehlestr.)",Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
7,Spandau,"Rathaus Spandau, Altstädter Ring hinter Stabholzgarten",Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 2 Plätzen,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,ja
9,Steglitz-Zehlendorf,Schloßstr. ggü. 33-35 auf dem Hermann-Ehlers-Platz,Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 2 Plätzen,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
10,Neukölln,Waltersdorfer Chaussee ggü. 5-7 hinter Groß Ziethener Chaussee,Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette 1 Platz mit 2 Pissoirs,WC,24h,0.0,-,ja,ja,nein
11,Tempelhof-Schöneberg,"Wittenbergplatz, Ansbacher Str. ggü. 24 vor Tauentzienstr.",Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,ja
13,Reinickendorf,Alt-Tegel 1-3 vor Berliner Str.,Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette 1 Platz mit Kiosk,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
17,Mitte,"Museumsinsel, Am Lustgarten vor Bodestr. (neben Berliner Dom)",Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette 1 Platz mit 2 Pissoirs,WC,24h,0.0,-,ja,ja,nein
18,Charlottenburg-Wilmersdorf,"George-Grosz-Platz, Kurfürstendamm 50 vor Schlüterstr.",Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
19,Mitte,Str. des 17. Juni hinter Ebertstr.,Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette 1 Platz mit 2 Pissoirs,WC,24h,0.0,-,ja,ja,nein
21,Friedrichshain-Kreuzberg,Erich-Steinfurth-Str. am Hermann-Stöhr-Platz (Ostbahnhof),Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette 1 Platz mit 2 Pissoirs,WC,24h,0.0,-,ja,ja,nein
22,Mitte,Burgstr. (James-Simon-Park) ggü. 28 ggü. Henriette-Herz-Platz,Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette 2 Plätze mit 2 Pissoirs,WC,24h,0.0,-,ja,ja,nein
23,Mitte,Seestr. 94 Mittelinsel hinter Müllerstr.,Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
26,Charlottenburg-Wilmersdorf,Pestalozzistr. 77 hinter Wilmersdorfer Str. 117,Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
27,Neukölln,Hermannplatz 9 Mittelinsel vor Sonnenallee,Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
29,Steglitz-Zehlendorf,"S-Bhf. Zehlendorf, Teltower Damm 37-39 ggü. Machnower Str.",Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
30,Lichtenberg,"S-Bhf. Lichtenberg, Weitlingstraße 1 vor Einbecker Straße",Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,ja
31,Friedrichshain-Kreuzberg,"Platz der Vereinten Nationen, Landsberger Allee vor Friedenstr. stew.",Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
32,Pankow,Waldstr. ggü. 89 Mittelinsel hinter Hermann-Hesse-Str.,Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
33,Friedrichshain-Kreuzberg,Warschauer Str. ggü. 33 hinter ggü. Marchlewskistr. (Helsingforser Str.),Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette 1 Platz mit 2 Pissoirs,WC,24h,0.0,-,ja,ja,nein
36,Tempelhof-Schöneberg,"Bundesallee, Friedrich-Wilhelm-Platz 4 ggü. Wilhelmshöher Str.",Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
37,Tempelhof-Schöneberg,"S-Bhf. Tempelhof, Tempelhofer Damm 108",Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 2 Plätzen,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
38,Charlottenburg-Wilmersdorf,"Hochmeisterplatz, Westfälische Str. ggü. 70 hinter Johann-Georg-Str.",Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,ja
