Straßenname1,Bezirk2 G3 Hausnr.4,,B5,WL6,Straßenname1,Bezirk2 G3,Hausnr.4,B5,WL6
A,,,,,Agricolastraße,Mitt W,28 - 33 A,F,gut
Aachener Straße,ChWi W 1,- 4 A,F,mittel,Ahlbecker Straße,Pank O,,K,gut
Aachener Straße,ChWi W 5,- 16,F,gut,Ahlbeerensteig,Span O,,K,einfach
Aachener Straße,ChWi W 17,- 26,F,mittel,Ahlener Weg,StZe W,,K,einfach
Aachener Straße,ChWi W 27,- 45,F,gut,Ahornallee,ChWi W,2,F,mittel
Aalemannufer,Span W,,K,mittel,Ahornallee,ChWi W,3 - 57,F,gut
Aalesunder Straße,Pank O,,K,mittel,Ahornallee,MaHe O,1 - 8 B,F,mittel
Aalstieg,TrKö O,,K,einfach,Ahornallee,MaHe O,8 C - 48,F,gut
Aarauer Straße,StZe W,,K,mittel,Ahornallee,MaHe O,48 A - 56,F,mittel
Aarberger Straße,StZe W,,K,mittel,Ahornallee,Span W,,K,mittel
Aaron-Bernstein-Platz,Mitt O,,K,gut,Ahornallee (Blanb),Pank O,,K,mittel
Abajstraße,Pank O,,K,mittel,Ahornallee (Frihg),TrKö O,,K,gut
Abbestraße,ChWi W,,K,mittel,Ahornallee (Köpen),TrKö O,,K,mittel
Abendrotweg,TSch W,,K,mittel,Ahornallee (Roset),Pank O,,K,mittel
Abendseglersteig,TrKö O,,K,einfach,Ahornstraße,MaHe O,,K,mittel
Abram-Joffe-Straße,TrKö O,,K,mittel,Ahornstraße,TrKö O,,K,einfach
Abtstraße,TrKö O,,K,mittel,Ahornstraße,TSch W,,K,mittel
Abtweilerstraße,TrKö O,,K,einfach,Ahornstraße (Stegl),StZe W,,K,gut
Achardstraße,MaHe O,,K,mittel,Ahornstraße (Zehld),StZe W,,K,gut
Achenbachstraße,Span W,,K,einfach,Ahornweg,TrKö O,,K,mittel
Achenseeweg,StZe W,,K,mittel,Ahrensdorfer Straße,TSch W,,K,einfach
Achillesstraße,Pank O,,K,mittel,Ahrensfelder Chaussee,Lich O,,K,einfach
Achtermannstraße,Pank O,,K,mittel,Ahrensfelder Chaussee,MaHe O,,K,einfach
Achtrutenberg,Pank O,,K,mittel,Ahrenshooper Straße,Lich O,,K,einfach
Ackerplanweg,Rein W,,K,mittel,Ahrenshooper Zeile,StZe W,,K,gut
Ackerstraße,Mitt O 1,- 43,F,gut,Ährenweg,MaHe O,,K,mittel
Ackerstraße,Mitt W 45,- 137,F,einfach,Ahrweilerstraße,ChWi W,,K,gut
Ackerstraße,Mitt O 144,- 174,F,gut,Aiblinger Weg,Span W,,K,mittel
Ackerstraße,Span W,,K,einfach,Aidastraße,Pank O,,K,mittel
Adalbertstraße,FrKr W,,K,einfach,Akazienallee,ChWi W,1 - 63,U,mittel
Adalbertstraße,Mitt O 24,- 33,F,gut,Akazienallee,ChWi W,2 - 6,G,gut
Adalbertstraße,Mitt O 35,- 53,F,mittel,Akazienallee,ChWi W,10 - 64,G,mittel
Adalbertstraße,Mitt O 57,- 66,F,gut,Akazienallee,MaHe O,,K,gut
Adamstraße,Span W,,K,einfach,Akazienallee,Pank O,,K,mittel
Adam-von-Trott-Straße,ChWi W,,K,einfach,Akazienhof,TrKö O,,K,mittel
Adele-Sandrock-Straße,MaHe O,,K,mittel,Akazienstraße,StZe W,,K,gut
Adele-Schreiber-Krieger-Straße,Mitt O,,K,gut,Akazienstraße,TSch W,,K,mittel
Adelheidallee,Rein W,,K,gut,Akazienweg,Span W,,K,mittel
Adelheid-Poninska-Straße,Span O,,K,mittel,Akeleiweg,TrKö O,1 - 97,U,mittel
Adersleber Weg,MaHe O,,K,einfach,Akeleiweg,TrKö O,2 - 88,G,einfach
Adickesstraße,Span W,,K,einfach,Akkordeonweg,Pank O,1 - 47,U,einfach
Adlergestell,TrKö O 73,- 543,U,mittel,Akkordeonweg,Pank O,2 - 42,G,einfach
